date,rh,avt,mxt,mnt
2020-09-08,64,30,33.6,27.4
2020-09-09,62,30.3,34,27.8
2020-09-10,71,29.5,33,26
2020-09-11,70,29.3,32.4,27
2020-09-12,72,29.2,33,27
2020-09-13,67,29.2,33.6,26.8
2020-09-14,71,28.9,32,27
2020-09-15,,,,
2020-09-16,72,29.2,33,27
2020-09-17,,,,
2020-09-18,64,30.3,34.8,26.6
2020-09-19,,,,
2020-09-20,72,29.4,33.2,27.6
2020-09-21,,,,
2020-09-22,71,29,32.6,26.4
2020-09-23,,,,
2020-09-24,68,28.8,33,24.2
2020-09-25,,,,
2020-09-26,70,30.3,34.6,26
2020-09-27,,,,
2020-09-28,70,29.4,34.4,25.6
2020-09-29,64,29.7,32.8,26.6
2020-09-30,64,30.3,34.8,26.6
2020-10-01,70,30.3,34.6,26
2020-10-02,72,29.4,33.2,27.6
2020-10-03,78,27.8,30.8,27
2020-10-04,74,28.4,32.4,25
2020-10-05,68,28.8,33,24.2
2020-10-06,67,28.8,33,25.8
2020-10-07,68,29.7,33.6,25.8
2020-10-08,71,29.3,32.4,25
2020-10-09,77,28.7,31.6,25
2020-10-10,75,28.8,32.2,26.6
2020-10-11,77,28.5,32,25.6
2020-10-12,68,29.7,33.2,25.6
2020-10-13,70,29.5,32.6,26.6
2020-10-14,70,29.8,33.2,27.4
2020-10-15,67,30,33.6,27.2
2020-10-16,75,28.4,33.6,27
2020-10-17,75,28.7,32,24.4
2020-10-18,75,28.8,32.2,26.6
2020-10-19,79,28.6,32.6,26.8
2020-10-20,78,28.6,32.8,25
2020-10-21,82,27.3,32,25.4
2020-10-22,76,28.8,33,24
2020-10-23,68,29.8,33.6,26.4
2020-10-24,72,29.2,32.6,26.4
2020-10-25,78,28.2,32,25.6
2020-10-26,82,27.4,32.2,26
2020-10-27,82,27,31,25.2
2020-10-28,80,28.3,32.2,24.6
2020-10-29,74,29.4,33.4,25.6
2020-10-30,76,29.1,32.4,27
2020-10-31,77,28.1,32.6,26.1
2020-11-01,81,27.7,32.8,25
2020-11-02,75,28.6,32.4,25.8
2020-11-03,74,28.8,32.2,26.2
2020-11-04,74,28.6,32.6,26.4
2020-11-05,83,27.3,29.8,25
2020-11-06,86,27.7,31.4,25.6
2020-11-07,80,28.9,33.4,25.4
2020-11-08,80,27.8,31.6,25.8
2020-11-09,71,29.1,33.8,25
2020-11-10,77,29.5,32.2,26.4
2020-11-11,72,29.9,33,26.8
2020-11-12,74,29.8,34.4,27
2020-11-13,76,30.4,33.4,25.6
2020-11-14,71,30.5,33.4,27.4
2020-11-15,68,30.7,34.6,27.6
2020-11-16,74,29.7,35,27.6
2020-11-17,78,29.3,32.2,26
2020-11-18,76,29.3,32.8,26.6
2020-11-19,72,30.2,33.2,26.8
2020-11-20,77,29.7,32.6,28
2020-11-21,76,29.2,32.4,26.6
2020-11-22,77,28.5,31.8,26.8
2020-11-23,81,28,30.6,
2020-11-24,77,28.1,34.4,25.6
2020-11-25,78,28.3,33.8,25.4
2020-11-26,77,28.7,32.6,25.6
2020-11-27,70,29.4,35.2,26.2
2020-11-28,79,28.5,32.6,25
2020-11-29,74,28.4,32.8,26
2020-11-30,76,27.8,32,25.2
2020-12-01,70,29.4,34,26.2
2020-12-02,70,29.4,33.8,
2020-12-03,79,26.9,30.4,24.4
2020-12-04,80,27.8,32.4,24.4
2020-12-05,80,27.5,30.2,26
2020-12-06,90,26,28.6,25
2020-12-07,88,26.1,30.2,24.2
2020-12-08,78,28.4,32.2,24.4
2020-12-09,75,28.9,32.2,25.6
2020-12-10,80,27.8,32,25
2020-12-11,80,28.1,30.4,26
2020-12-12,78,27.7,32.2,25.4
2020-12-13,83,27,30.2,25.6
2020-12-14,76,28,32.2,25
2020-12-15,78,27.7,32.6,25.8
2020-12-16,76,28.1,32.2,25.4
2020-12-17,79,27.5,31.8,24.8
2020-12-18,74,28.3,31.8,25
2020-12-19,74,28.2,32.8,25.4
2020-12-20,81,27.2,30.8,25.8
2020-12-21,76,27.4,29.6,24.8
2020-12-22,73,28.6,31.6,25.6
2020-12-23,,,,
2020-12-24,68,28.9,33.4,26.4
2020-12-25,67,29.3,34.2,25.8
2020-12-26,70,28.9,34.4,
2020-12-27,70,29.4,32.4,25.6
2020-12-28,70,29.1,33,26.4
2020-12-29,73,28.3,32,26.4
2020-12-30,75,28,32.6,25.6
2020-12-31,83,26.5,30.2,25.6
2021-01-01,80,27,30,25
2021-01-02,78,27.6,31.2,25
2021-01-03,77,27.9,32.4,25
2021-01-04,75,28.8,32.6,25.6
2021-01-05,76,28.4,29.6,26.2
2021-01-06,85,27.2,30.6,24
2021-01-07,84,26.8,29.8,24
2021-01-08,85,27.1,30.2,25
2021-01-09,87,26.4,32,25.6
2021-01-10,82,27.1,31,24.6
2021-01-11,78,27.8,30.8,24.6
2021-01-12,82,27.3,30,25
2021-01-13,83,27.2,29,25.6
2021-01-14,81,27.4,29.4,26
2021-01-15,79,27.9,29.8,25
2021-01-16,70,29.2,34.2,25.6
2021-01-17,82,27.9,30.4,25.6
2021-01-18,86,26.8,28.8,26.2
2021-01-19,82,26.7,29.4,24
2021-01-20,80,27.3,29.8,24.8
2021-01-21,87,26.6,28.4,24.8
2021-01-22,79,27,29.4,25.6
2021-01-23,82,27.4,30.8,25.4
2021-01-24,94,25.1,27.6,24
2021-01-25,80,27.6,30.4,24
2021-01-26,83,27.4,31.8,
2021-01-27,86,25.9,30,23.4
2021-01-28,87,25.7,28.8,24
2021-01-29,87,26.2,29.4,24
2021-01-30,86,26.6,29.8,24.2
2021-01-31,87,26.6,29.2,24.2
2021-02-01,82,27.1,30.4,24.8
2021-02-02,83,27.4,29.8,25.4
2021-02-03,89,26.5,29.4,24.2
2021-02-04,87,26.5,29.8,24.2
2021-02-05,85,27,29.6,25
2021-02-06,80,28.2,30,24.6
2021-02-07,82,27.8,30.2,25.8
2021-02-08,83,28,30.2,25
2021-02-09,87,27.2,30.2,24.2
2021-02-10,80,28.1,30.8,25.4
2021-02-11,81,27.6,32,25.8
2021-02-12,82,27.4,29.6,25.4
2021-02-13,79,27.9,31,25.2
2021-02-14,88,27.3,29.2,26
2021-02-15,86,27.4,30.6,25.2
2021-02-16,95,25.5,28.2,24.2
2021-02-17,85,26,29,23.8
2021-02-18,86,25.8,30,24.4
2021-02-19,82,26.6,29.4,24.5
2021-02-20,78,27.9,30,
2021-02-21,82,27.2,30.2,24.8
2021-02-22,78,27.9,30.4,25.4
2021-02-23,80,27.9,31,26.4
2021-02-24,77,27.3,32.4,24
2021-02-25,85,27.3,30,24.6
2021-02-26,86,26.8,29.6,24
2021-02-27,82,28.1,31.6,25
2021-02-28,70,29.5,34,26
2021-03-01,72,29.3,33.4,26.2
2021-03-02,82,27.3,30.8,24.8
2021-03-03,82,27.7,31.4,24.6
2021-03-04,78,28.3,31.6,25
2021-03-05,82,27.4,31.6,25.4
2021-03-06,86,26.8,30.4,25.8
2021-03-07,85,27.1,30.6,24.2
2021-03-08,80,27,31.4,
2021-03-09,80,27.3,30.4,24.8
2021-03-10,83,27.4,30.6,25
2021-03-11,82,26,30.2,23
2021-03-12,83,27.4,29.6,23.4
2021-03-13,74,28.7,32.8,25.8
2021-03-14,79,26.9,30.8,25
2021-03-15,84,27.6,30.2,25
2021-03-16,82,27.8,32.2,25
2021-03-17,76,28.1,32,24.8
2021-03-18,74,29,32,26.4
2021-03-19,76,28.9,31.6,27
2021-03-20,80,27.8,31.8,25
2021-03-21,79,28.4,32.8,26
2021-03-22,73,29.3,32.8,26.2
2021-03-23,75,29.1,33.8,26.8
2021-03-24,72,28.9,33.2,26.4
2021-03-25,72,28.8,31.4,27
2021-03-26,76,28.8,32.6,26
2021-03-27,82,28.3,32,26.8
2021-03-28,79,28.8,32.8,25
2021-03-29,82,28.3,32,26.4
2021-03-30,86,27.8,29.4,27
2021-03-31,79,28.5,33,26
2021-04-01,76,27.8,30.4,25
2021-04-02,73,29,32.2,25.8
2021-04-03,88,26.9,29.8,25
2021-04-04,84,27.7,30.2,25.2
2021-04-05,78,28.5,32,25
2021-04-06,71,29,33.4,26
2021-04-07,76,27.8,30.4,25.4
2021-04-08,75,29.1,33.4,25.6
2021-04-09,78,28.6,31.8,25.6
2021-04-10,81,27.6,31.6,24.4
2021-04-11,77,28.1,31.6,25.2
2021-04-12,74,28.7,33.6,26
2021-04-13,80,28,32.8,25
2021-04-14,81,28,31.8,25.6
2021-04-15,82,27.3,31.8,25
2021-04-16,78,28.3,31.8,25.4
2021-04-17,84,27.6,31.4,26
2021-04-18,78,28.6,31.8,25.8
2021-04-19,76,28.7,32,26.4
2021-04-20,73,29.1,32.8,26.2
2021-04-21,72,29.3,33.2,25.6
2021-04-22,68,29.3,33,26.4
2021-04-23,76,28.2,32.2,26.8
2021-04-24,74,28.5,32.6,25.4
2021-04-25,73,29.3,32.8,25
2021-04-26,70,30.2,34.2,26.8
2021-04-27,73,29.9,34.2,27.2
2021-04-28,78,28.8,32.2,26.4
2021-04-29,76,29,33.4,25.4
2021-04-30,80,28.6,32,25.2
2021-05-01,76,29.7,33.4,26.6
2021-05-02,76,29.8,33.6,27.2
2021-05-03,76,29.7,33,26
2021-05-04,72,29.5,32.8,26.6
2021-05-05,78,29.5,32.4,27.4
2021-05-06,81,27.6,32.4,26
2021-05-07,80,28.8,32.8,25
2021-05-08,78,29.2,33.2,25.8
2021-05-09,80,28.4,32.4,24.6
2021-05-10,76,29.7,33.6,25.4
2021-05-11,73,29.9,34.8,25.6
2021-05-12,74,30.1,33.8,27.2
2021-05-13,76,29.6,33.6,27.2
2021-05-14,71,29.8,34.4,26.8
