date,rh,avt,mxt,mnt
2020-06-25,70.0,29.6,33.4,26.2
2020-06-26,78.0,28.9,32.6,26.4
2020-06-27,75.0,29.3,33.6,26.0
2020-06-28,71.0,29.5,33.2,27.0
2020-06-29,68.0,29.8,34.2,27.0
2020-06-30,72.0,29.7,33.6,26.6
2020-07-01,70.0,29.8,34.2,26.6
2020-07-02,81.0,27.3,31.0,26.4
2020-07-03,74.0,28.5,32.0,26.278845245623664
2020-07-04,73.0,29.1,32.6,26.278025530916178
2020-07-05,69.0,28.5,32.4,25.0
2020-07-06,66.0,29.0,33.0,25.8
2020-07-07,75.0,28.3,33.2,24.2
2020-07-08,73.0,29.0,32.2,25.4
2020-07-09,77.0,27.8,32.0,25.0
2020-07-10,79.0,27.7,32.510937066727585,25.2
2020-07-11,80.0,28.3,32.6,25.4
2020-07-12,77.0,28.8,31.8,26.0
2020-07-13,72.0,29.1,32.4,26.0
2020-07-14,74.0,29.4,32.6,27.2
2020-07-15,82.0,27.3,30.0,25.4
2020-07-16,79.0,28.4,31.0,25.6
2020-07-17,77.0,28.6,33.0,25.0
2020-07-18,74.0,28.8,32.6,26.0
2020-07-19,73.0,29.0,32.6,26.0
2020-07-20,74.0,29.2,32.6,26.4
2020-07-21,74.0,28.9,32.2,27.0
2020-07-22,72.0,29.4,33.0,27.0
2020-07-23,70.0,29.4,33.0,27.2
2020-07-24,71.0,29.2,33.4,26.2
2020-07-25,72.0,28.7,32.4,25.0
2020-07-26,64.0,28.4,32.8,25.8
2020-07-27,65.0,28.4,33.2,25.0
2020-07-28,68.0,28.4,33.2,25.2
2020-07-29,67.0,28.3,33.0,24.6
2020-07-30,70.0,28.2,31.4,26.0
2020-07-31,60.0,28.0,32.2,25.2
2020-08-01,69.0,27.7,32.2,24.6
2020-08-02,69.0,28.2,31.8,24.0
2020-08-03,69.0,29.5,34.0,26.0
2020-08-04,70.0,29.5,32.8,27.6
2020-08-05,73.0,28.5,31.4,26.229433160245037
2020-08-06,73.0,29.1,33.0,25.0
2020-08-07,77.0,28.8,32.0,26.6
2020-08-08,75.0,29.3,32.0,26.222654180889194
2020-08-09,80.0,28.6,32.2,25.8
2020-08-10,78.0,29.0,33.4,26.0
2020-08-11,74.0,29.2,33.0,27.0
2020-08-12,74.0,29.0,32.8,27.0
2020-08-13,83.0,27.1,30.4,27.2
2020-08-14,82.0,27.5,31.4,24.2
2020-08-15,79.0,28.5,32.4,25.4
2020-08-16,75.0,29.1,33.4,26.2
2020-08-17,71.0,29.4,33.6,26.4
2020-08-18,77.0,28.3,32.2,26.0
2020-08-19,75.0,29.0,33.8,25.8
2020-08-20,75.0,29.3,32.6,26.2
2020-08-21,68.0,29.0,33.0,26.0
2020-08-22,64.0,29.0,34.0,25.4
2020-08-23,66.0,29.5,34.8,26.0
2020-08-24,68.0,29.5,33.8,27.0
2020-08-25,64.0,29.0,34.0,25.6
2020-08-26,67.0,29.1,33.8,26.0
2020-08-27,64.0,29.0,34.0,25.8
2020-08-28,64.0,29.3,34.4,26.2
2020-08-29,64.0,29.9,34.4,26.4
2020-08-30,68.0,29.2,33.8,26.4
2020-08-31,68.0,29.3,33.0,26.8
2020-09-01,61.0,29.9,35.0,26.6
2020-09-02,70.0,29.1,32.2,25.0
2020-09-03,71.0,28.9,32.6,26.2
2020-09-04,68.0,30.2,34.8,27.2
2020-09-05,74.0,29.6,32.4,26.8
2020-09-06,71.0,29.0,32.6,26.4
2020-09-07,66.0,29.7,34.0,26.8
2020-09-08,64.0,30.0,33.6,27.4
2020-09-09,62.0,30.3,34.0,27.8
2020-09-10,71.0,29.5,33.0,26.0
2020-09-11,70.0,29.3,32.4,27.0
2020-09-12,72.0,29.2,33.0,27.0
2020-09-13,67.0,29.2,33.6,26.8
2020-09-14,71.0,28.9,32.0,27.0
2020-09-15,78.48904322531301,29.082714588711912,33.53320235548519,26.103795426236573
2020-09-16,72.0,29.2,33.0,27.0
2020-09-17,62.98887915851639,29.07121984699183,33.50000640255192,26.095845649274782
2020-09-18,64.0,30.3,34.8,26.6
2020-09-19,69.26995649047056,29.05935084235543,33.458204400819206,26.087726467009723
2020-09-20,72.0,29.4,33.2,27.6
2020-09-21,72.57176609226835,29.047107574802695,33.40779635028706,26.079437879441393
2020-09-22,71.0,29.0,32.6,26.4
2020-09-23,68.61492392707589,29.03449004433363,33.348782250955466,26.07097988656979
2020-09-24,68.0,28.8,33.0,24.2
2020-09-25,68.48265448854579,29.02149825094823,33.28116210282445,26.062352488394918
2020-09-26,70.0,30.3,34.6,26.0
2020-09-27,71.66614139725412,29.008132194646507,33.204935905894004,26.053555684916777
2020-09-28,70.0,29.4,34.4,25.6
2020-09-29,64.0,29.7,32.8,26.6
2020-09-30,64.0,30.3,34.8,26.6
2020-10-01,70.0,30.3,34.6,26.0
2020-10-02,72.0,29.4,33.2,27.6
2020-10-03,78.0,27.8,30.8,27.0
2020-10-04,74.0,28.4,32.4,25.0
2020-10-05,68.0,28.8,33.0,24.2
2020-10-06,67.0,28.8,33.0,25.8
2020-10-07,68.0,29.7,33.6,25.8
2020-10-08,71.0,29.3,32.4,25.0
2020-10-09,77.0,28.7,31.6,25.0
2020-10-10,75.0,28.8,32.2,26.6
2020-10-11,77.0,28.5,32.0,25.6
2020-10-12,68.0,29.7,33.2,25.6
2020-10-13,70.0,29.5,32.6,26.6
2020-10-14,70.0,29.8,33.2,27.4
2020-10-15,67.0,30.0,33.6,27.2
2020-10-16,75.0,28.4,33.6,27.0
2020-10-17,75.0,28.7,32.0,24.4
2020-10-18,75.0,28.8,32.2,26.6
2020-10-19,79.0,28.6,32.6,26.8
2020-10-20,78.0,28.6,32.8,25.0
2020-10-21,82.0,27.3,32.0,25.4
2020-10-22,76.0,28.8,33.0,24.0
2020-10-23,68.0,29.8,33.6,26.4
2020-10-24,72.0,29.2,32.6,26.4
2020-10-25,78.0,28.2,32.0,25.6
2020-10-26,82.0,27.4,32.2,26.0
2020-10-27,82.0,27.0,31.0,25.2
2020-10-28,80.0,28.3,32.2,24.6
2020-10-29,74.0,29.4,33.4,25.6
2020-10-30,76.0,29.1,32.4,27.0
2020-10-31,77.0,28.1,32.6,26.1
2020-11-01,81.0,27.7,32.8,25.0
2020-11-02,75.0,28.6,32.4,25.8
2020-11-03,74.0,28.8,32.2,26.2
2020-11-04,74.0,28.6,32.6,26.4
2020-11-05,83.0,27.3,29.8,25.0
2020-11-06,86.0,27.7,31.4,25.6
2020-11-07,80.0,28.9,33.4,25.4
2020-11-08,80.0,27.8,31.6,25.8
2020-11-09,71.0,29.1,33.8,25.0
2020-11-10,77.0,29.5,32.2,26.4
2020-11-11,72.0,29.9,33.0,26.8
2020-11-12,74.0,29.8,34.4,27.0
2020-11-13,76.0,30.4,33.4,25.6
2020-11-14,71.0,30.5,33.4,27.4
2020-11-15,68.0,30.7,34.6,27.6
2020-11-16,74.0,29.7,35.0,27.6
2020-11-17,78.0,29.3,32.2,26.0
2020-11-18,76.0,29.3,32.8,26.6
2020-11-19,72.0,30.2,33.2,26.8
2020-11-20,77.0,29.7,32.6,28.0
2020-11-21,76.0,29.2,32.4,26.6
2020-11-22,77.0,28.5,31.8,26.8
2020-11-23,81.0,28.0,30.6,25.73163303142741
2020-11-24,77.0,28.1,34.4,25.6
2020-11-25,78.0,28.3,33.8,25.4
2020-11-26,77.0,28.7,32.6,25.6
2020-11-27,70.0,29.4,35.2,26.2
2020-11-28,79.0,28.5,32.6,25.0
2020-11-29,74.0,28.4,32.8,26.0
2020-11-30,76.0,27.8,32.0,25.2
2020-12-01,70.0,29.4,34.0,26.2
2020-12-02,70.0,29.4,33.8,25.66822479500336
2020-12-03,79.0,26.9,30.4,24.4
2020-12-04,80.0,27.8,32.4,24.4
2020-12-05,80.0,27.5,30.2,26.0
2020-12-06,90.0,26.0,28.6,25.0
2020-12-07,88.0,26.1,30.2,24.2
2020-12-08,78.0,28.4,32.2,24.4
2020-12-09,75.0,28.9,32.2,25.6
2020-12-10,80.0,27.8,32.0,25.0
